team,bip,xwoba_contact,woba_contact,defense_residual,defense_score
ATH,227,0.2785939574388635,0.30088105726872244,-0.022287099829858936,-0.7364675414543317
ATL,186,0.34680851645150346,0.3346774193548387,0.012131097096664767,0.8546739716612557
AZ,235,0.3579358036323602,0.36425531914893616,-0.0063195155165759465,0.0017084390967776954
BAL,212,0.33496156930386844,0.33867924528301885,-0.0037176759791504033,0.12199059412369924
BOS,217,0.27156077225695585,0.2799539170506912,-0.008393144793735374,-0.09415473562861262
CHC,211,0.29654184325629657,0.26872037914691943,0.027821464109377136,1.5800342908913088
CIN,217,0.28572159100589584,0.26705069124423964,0.0186708997616562,1.1570068198945933
CLE,223,0.28206879776061483,0.2845291479820628,-0.002460350221447971,0.18011633536635394
COL,214,0.3731089427541819,0.3705607476635514,0.0025481950906304784,0.4116596780749053
CWS,219,0.3260538839644115,0.365296803652968,-0.03924291968855653,-1.520329314448387
DET,205,0.26546703494383866,0.29048780487804876,-0.025020769934210096,-0.8628441786582456
HOU,213,0.30629284615956354,0.31784037558685446,-0.011547529427290926,-0.23998086212498027
KC,211,0.2874190571654537,0.28696682464454976,0.00045223252090392796,0.3147640428460212
LAA,229,0.32076361266285836,0.35152838427947597,-0.030764771616617614,-1.1283874187005845
LAD,219,0.2712944877687959,0.2547945205479452,0.016499967220850675,1.0566453484548384
MIA,227,0.3291714670215074,0.3387665198237886,-0.009595052802281179,-0.14971853321585799
MIL,181,0.2858968237868724,0.30193370165745853,-0.016036877870586108,-0.44752191054820684
MIN,192,0.22492796979131277,0.19713541666666667,0.027792553124646097,1.5786977459209601
NYM,216,0.32876438068254904,0.32708333333333334,0.001681047349215703,0.371571733540362
NYY,213,0.2801189207917713,0.2537558685446009,0.026363052247170393,1.5126124075738512
PHI,215,0.23579889675209872,0.25093023255813957,-0.015131335806040841,-0.40565900954132667
PIT,215,0.2798600605269669,0.2913953488372093,-0.01153528831024242,-0.23941495945598323
SD,186,0.32414847170769634,0.318010752688172,0.0061377190195243125,0.5776021458856851
SEA,211,0.2778060850156841,0.2665876777251185,0.011218407290565613,0.8124806329985131
SF,179,0.29649974013198327,0.31033519553072625,-0.01383545539874298,-0.3457508999885052
STL,183,0.31959586220419994,0.39043715846994537,-0.07084129626574542,-2.981111493897163
TB,213,0.3223826858214066,0.36314553990610327,-0.040762854084696654,-1.5905953635407815
TEX,219,0.3177510094884751,0.30410958904109586,0.01364142044737926,0.9244957053993682
TOR,225,0.28858908291960006,0.29888888888888887,-0.010299805969288811,-0.18229903192470728
WSH,191,0.3433961029378908,0.3612565445026178,-0.017860441564726992,-0.5318246386008189
